t,x,y,v,u,xcs,ycs,vcs
0.0,0.0,0.0,0.0,5.82397612735319e-14,-0.14913330162492094,0.05695136510893837,-0.10193679887489503
0.00331059706602082,1.7358345720877577e-7,-5.375863927161231e-5,0.03247683024111855,0.01311283753178738,-0.14913330162491406,0.05695136510893541,-0.10174706095078626
0.00662119413204164,1.3886481126101913e-6,-0.00021502951274148668,0.06495289862653736,0.027702937976562838,-0.14913330162491523,0.056951365108935795,-0.10155493619959169
0.009931791198062461,4.686577438770684e-6,-0.00048379748784753776,0.09742744331843206,-0.000721354626161207,-0.1491333016249156,0.05695136510893589,-0.1013604291282517
0.01324238826408328,1.1108559466035256e-5,-0.0008600373452298804,0.12989970251471336,0.031650851023742474,-0.14913330162491453,0.0569513651089356,-0.10116354429959815
0.0165529853301041,2.1695489085832992e-5,-0.0013437137810992893,0.16236891446691842,0.0065066528003144275,-0.14913330162491698,0.05695136510893641,-0.1009642863322447
0.019863582396124922,3.748787037820278e-5,-0.001934781410547079,0.19483431749805466,0.05985873214468177,-0.14913330162491692,0.05695136510893645,-0.10076265990046783
0.02317417946214574,5.9525718979908104e-5,-0.0026331847718066015,0.227295150020494,-0.008339820252598204,-0.1491333016249165,0.05695136510893624,-0.10055866973411014
0.02648477652816656,8.884846449411232e-5,-0.0034388583314540096,0.2597506505538107,0.07111653258337304,-0.14913330162491617,0.05695136510893607,-0.10035232061846258
0.02979537359418738,0.00012649485296079184,-0.004351726490561808,0.29220005774267443,0.056221215653758205,-0.14913330162491556,0.05695136510893594,-0.10014361739415283
0.0331059706602082,0.00017350284938455474,-0.005371703591788721,0.32464261037468634,-0.017246982504288588,-0.14913330162491503,0.056951365108935656,-0.09993256495703258
0.03641656772622902,0.00023090954034014205,-0.00649869392741817,0.35707754739824193,0.1083240674700371,-0.14913330162491445,0.056951365108935406,-0.09971916825806232
0.039727164792249844,0.0002997510366605019,-0.007732591748340744,0.38950410794039847,0.10484221491863688,-0.14913330162491548,0.05695136510893591,-0.09950343230319626
0.043037761858270664,0.0003810623762137491,-0.009073281273974776,0.42192153132470067,-0.0542413807627361,-0.14913330162491573,0.056951365108935954,-0.09928536215326123
0.04634835892429148,0.000475877426782251,-0.010520636703130653,0.45432905708904453,0.06455916557546239,-0.14913330162491678,0.056951365108936294,-0.0990649629238433
0.0496589559903123,0.000585228789052275,-0.012074522225816085,0.4867259250034999,0.25901746252365826,-0.14913330162491606,0.05695136510893609,-0.09884223978516257
0.05296955305633312,0.0007101476997222311,-0.013734792035980237,0.5191113750881678,0.02588193369695925,-0.14913330162491595,0.05695136510893608,-0.09861719796195718
0.05628015012235394,0.0008516639347363186,-0.015501290345192126,0.5514846476309745,-0.2340099766443567,-0.14913330162491495,0.05695136510893564,-0.09838984273335595
0.05959074718837476,0.0010108057126587983,-0.01737385139726131,0.5838449832055282,0.20507368304370216,-0.1491333016249152,0.056951365108935705,-0.09816017943275872
0.06290134425439559,0.0011885995981941247,-0.019352299483792024,0.6161916226889149,0.7836357948342121,-0.1491333016249154,0.05695136510893586,-0.0979282134477068
0.0662119413204164,0.0013860704058588653,-0.02143644896066807,0.6485238072795037,-0.07935555993672119,-0.14913330162491478,0.056951365108935614,-0.09769395021975924
0.06952253838643722,0.0016042411038211524,-0.023626104265473763,0.6808407785147612,-2.8701011767806968,-0.14913330162491495,0.05695136510893567,-0.09745739524436664
0.07283313545245804,0.001844132717911312,-0.025921059935842605,0.7131417782890207,-5.989923999384202,-0.14913330162491517,0.0569513651089357,-0.0972185540707385
0.07614373251847886,0.002106764235818341,-0.02832110062874031,0.7454260488713018,-7.360773134373066,-0.1491333016249163,0.056951365108936156,-0.09697743230171627
0.07945432958449969,0.0023931525114715795,-0.03082600114066631,0.7776928329230453,-6.641666452589977,-0.1491333016249162,0.05695136510893617,-0.09673403559363856
0.0827649266505205,0.002704312169629408,-0.03343552642878975,0.8099413735159184,-5.428584904080649,-0.14913330162491667,0.056951365108936294,-0.09648836965621291
0.08607552371654133,0.003041255510670561,-0.03614943163299981,0.8421709141495275,-5.382780145813843,-0.14913330162491548,0.056951365108935795,-0.09624044025237721
0.08938612078256214,0.0034049924156087305,-0.03896746209888531,0.8743806987692081,-6.5114519249057,-0.149133301624915,0.056951365108935635,-0.09599025319816928
0.09269671784858297,0.0037965302513323224,-0.04188935340162882,0.9065699717837348,-7.3391752644712005,-0.1491333016249149,0.056951365108935656,-0.09573781436258633
0.09600731491460378,0.004216873776079487,-0.044914831370818184,0.9387379780830483,-6.514215688942889,-0.1491333016249148,0.05695136510893563,-0.09548312966744883
0.0993179119806246,0.004667025045157744,-0.048043612116172536,0.9708839630559867,-4.082283511027982,-0.14913330162491573,0.056951365108935954,-0.09522620508726257
0.10262850904664543,0.005147983316917876,-0.05127540205417914,1.0030071726079481,-1.3184942486301672,-0.1491333016249154,0.056951365108935795,-0.09496704664907535
0.10593910611266624,0.005660744958992655,-0.05460989793564601,1.0351068531786332,0.4533131084734756,-0.14913330162491567,0.056951365108935885,-0.09470566043234033
0.10924970317868707,0.006206303354802073,-0.058046786874151754,1.0671822517596767,0.8370479715604835,-0.14913330162491467,0.0569513651089355,-0.09444205256876861
0.11256030024470788,0.006785648810341785,-0.06158574637540863,1.0992326159123538,0.3905136740762684,-0.14913330162491523,0.05695136510893582,-0.0941762292421909
0.11587089731072871,0.007399768461259483,-0.06522644436751897,1.1312571937851794,-0.06575004768191724,-0.14913330162491495,0.056951365108935684,-0.0939081966884053
